time,mins,mean,STD,var,meanFit,T01_A1,T01_A2,T01_A3,T01_A4,T01_A5,T01_B1,T01_B2,T01_B3,T01_B4,T01_B5,T01_C1,T01_C2,T01_C3,T01_C4,T01_C5,T01_D1,T01_D2,T01_D3,T01_D5,T02_A1,T02_A2,T02_A3,T02_A4,T02_A5,T02_B1,T02_B2,T02_B3,T02_B4,T02_B5,T02_C1,T02_C2,T02_C3,T02_C4,T02_C5,T02_D2,T02_D4,T02_D5,T03_A1,T03_A2,T03_A3,T03_A4,T03_A5,T03_B1,T03_B2,T03_B4,T03_B5,T03_C1,T03_C2,T03_C3,T03_C4,T03_C5,T03_D1,T03_D2,T04_A1,T04_A2,T04_A3,T04_A5,T04_B2,T04_B3,T04_B4,T04_B5,T04_C1,T04_C2,T04_C4,T04_C5,T04_D2,T04_D3,T04_D5,T05_A1,T05_A3,T05_A5,T05_B1,T05_B2,T05_B3,T05_B4,T05_B5,T05_C1,T05_C2,T05_C4,T05_C5,T05_D1,T05_D2,T05_D3,T05_D4,T05_D5,T06_A1,T06_A2,T06_A3,T06_A4,T06_A5,T06_B2,T06_B4,T06_B5,T06_C1,T06_C2,T06_C3,T06_C4,T06_D1,T06_D3,T06_D4,T06_D5,T07_A2,T07_A4,T07_A5,T07_B1,T07_B2,T07_B3,T07_B4,T07_B5,T07_C1,T07_C2,T07_C3,T07_C4,T07_C5,T07_D1,T07_D2,T07_D3,T07_D4,T07_D5,T08_A1,T08_A2,T08_A3,T08_A4,T08_B1,T08_B2,T08_B3,T08_B4,T08_B5,T08_C1,T08_C2,T08_C3,T08_C5,T08_D1,T08_D2,T08_D3,T08_D4,T08_D5,T09_A3,T09_A4,T09_A5,T09_B1,T09_B2,T09_B4,T09_B5,T09_C1,T09_C2,T09_C3,T09_C4,T09_C5,T09_D1,T09_D2,T09_D3,T09_D4,T09_D5,T10_A2,T10_A3,T10_A4,T10_A5,T10_B1,T10_B3,T10_B4,T10_B5,T10_C1,T10_C2,T10_D3,T10_D4,T11_A2,T11_A3,T11_A5,T11_B1,T11_B2,T11_B3,T11_B4,T11_B5,T11_C1,T11_C2,T11_C3,T11_C5,T11_D1,T11_D3,T11_D4,T12_B3,T12_B4,T12_B5,T12_C1,T12_C2,T12_C3,T12_C4,T12_D2,T12_D3,T12_D4,T12_D5,T13_A1,T13_B1,T13_B2,T13_B4,T13_C1,T13_C2,T13_C3,T13_C4,T13_C5,T13_D1,T13_D2,T13_D3,T13_D4,T13_D5,T15_A1,T15_A2,T15_A3,T15_A4,T15_A5,T15_B1,T15_B3,T15_B4,T15_C2,T15_C3,T15_C5,T15_D1,T15_D2,T15_D3,T15_D4,T15_D5,T16_A1,T16_A2
2017-11-13 06:05:00,17645,3.9642856,0.47710055,0.22762492,3.9642856,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,4.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,3.0,4.0,,,4.0,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,4.0,,,5.0,4.0,4.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
2017-11-13 06:20:00,17660,3.9518073,0.46600577,0.21716139,3.9518073,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,,,,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,4.0,3.0,,4.0,4.0,5.0,,4.0,,,,,,,,4.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
2017-11-13 06:35:00,17675,4.0,0.5179698,0.2682927,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,5.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,,,4.0,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,4.0,,,5.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
2017-11-13 06:50:00,17690,3.9277108,0.48848045,0.23861316,3.9277108,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,,,,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,4.0,,,4.0,4.0,4.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
2017-11-13 07:05:00,17705,3.9529412,0.5095722,0.25966382,3.9529412,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,,,4.0,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
2017-11-13 07:20:00,17720,3.964706,0.5220622,0.2725489,3.964706,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,,,4.0,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
2017-11-13 07:35:00,17735,3.9759035,0.46789357,0.21892439,3.9759035,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,3.0,4.0,,,,,,,,,,5.0,5.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,
2017-11-13 07:50:00,17750,3.9753087,0.4993825,0.24938288,3.9753087,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,5.0,,,,,,,,,,,,4.0,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0,,,,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
2017-11-13 08:05:00,17765,4.0,0.51484,0.26506025,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,,4.0,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,3.0,4.0,,,4.0,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
2017-11-13 08:20:00,17780,3.9880953,0.4783012,0.22877204,3.9880953,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,3.0,4.0,,,4.0,,,,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,,,,,,,,4.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
